1,0,1
1,1,11
1,2,5
1,3,14
1,4,7
1,5,21
1,6,12
1,7,3
1,8,1
1,9,6
1,10,10
1,11,0
1,12,21
1,13,9
1,14,23
1,15,29
1,16,19
1,17,7
1,18,0
1,19,14
1,20,20
1,21,27
1,22,5
1,23,21
1,24,0
1,25,4
1,26,7
1,27,18
1,28,27
1,29,10
1,30,28
2,0,7
2,1,9
2,2,22
2,3,2
2,4,22
2,5,21
2,6,25
2,7,2
2,8,6
2,9,28
2,10,6
2,11,5
2,12,17
2,13,27
2,14,10
2,15,16
2,16,3
2,17,24
2,18,19
2,19,18
2,20,2
2,21,12
2,22,24
2,23,16
2,24,15
2,25,21
2,26,8
2,27,3
2,28,4
2,29,21
2,30,11
3,0,12
3,1,4
3,2,19
3,3,28
3,4,20
3,5,29
3,6,9
3,7,9
3,8,19
3,9,24
3,10,28
3,11,9
3,12,28
3,13,25
3,14,18
3,15,7
3,16,22
3,17,12
3,18,4
3,19,10
3,20,4
3,21,28
3,22,29
3,23,5
3,24,6
3,25,3
3,26,24
3,27,6
3,28,13
3,29,25
3,30,6
4,0,19
4,1,6
4,2,8
4,3,14
4,4,2
4,5,27
4,6,5
4,7,1
4,8,1
4,9,28
4,10,21
4,11,29
4,12,24
4,13,9
4,14,22
4,15,25
4,16,8
4,17,3
4,18,28
4,19,13
4,20,25
4,21,22
4,22,12
4,23,20
4,24,1
4,25,24
4,26,17
4,27,14
4,28,20
4,29,15
4,30,5
5,0,3
5,1,8
5,2,1
5,3,20
5,4,28
5,5,1
5,6,8
5,7,12
5,8,18
5,9,0
5,10,3
5,11,25
5,12,2
5,13,5
5,14,15
5,15,11
5,16,13
5,17,10
5,18,13
5,19,16
5,20,14
5,21,3
5,22,17
5,23,2
5,24,10
5,25,0
5,26,21
5,27,23
5,28,25
5,29,29
5,30,23
6,0,2
6,1,7
6,2,15
6,3,27
6,4,29
6,5,9
6,6,10
6,7,27
6,8,19
6,9,4
6,10,3
6,11,9
6,12,2
6,13,1
6,14,11
6,15,11
6,16,6
6,17,21
6,18,14
6,19,5
6,20,25
6,21,17
6,22,14
6,23,0
6,24,15
6,25,4
6,26,18
6,27,18
6,28,27
6,29,21
6,30,13
7,0,24
7,1,15
7,2,12
7,3,14
7,4,27
7,5,11
7,6,0
7,7,3
7,8,21
7,9,23
7,10,3
7,11,17
7,12,14
7,13,24
7,14,15
7,15,14
7,16,21
7,17,20
7,18,12
7,19,27
7,20,6
7,21,18
7,22,21
7,23,20
7,24,27
7,25,20
7,26,16
7,27,20
7,28,11
7,29,18
7,30,19
8,0,1
8,1,28
8,2,29
8,3,9
8,4,7
8,5,0
8,6,13
8,7,17
8,8,8
8,9,28
8,10,25
8,11,10
8,12,14
8,13,8
8,14,6
8,15,23
8,16,12
8,17,21
8,18,6
8,19,25
8,20,1
8,21,0
8,22,14
8,23,19
8,24,7
8,25,10
8,26,4
8,27,19
8,28,27
